"type","name","1-1-3","2-1","2-2","2-4","2-5","3-5","5-1","5-2","5-4","5-5","8-1-1","8-2","8-2-1","8-3","8-3-1","10-2-2","11-1","12-1","12-1-1","12-2","12-3"
1,"LE26F02",-0.187786,-0.036473,-0.0862736,-0.197057,-0.073527,-0.036841,-0.0371962,0.146268,-0.399153,-0.248336,0.0752042,0.18843,0.0944653,-0.0898783,0.373221,0.145073,-0.026356,0.623275,0.129728,-0.0090548,-0.20497800000000000000
1,"LE31H18",-0.0158846,-0.29554,-0.502314,0.0342842,-0.167081,0.286118,-0.379107,-0.191773,0.277474,0.0972306,-0.138716,0.0882367,0.0595268,-0.106271,0.101837,0.309421,-0.0931446,0.0683976,-0.327762,0.0831163,0.08073210000000000000
1,"LE26L02",0.148256,0.144613,0.318153,0.138783,-0.257943,-0.0334697,-0.130568,-0.251362,0.281998,0.0434925,-0.0734404,0.0337165,0.0146033,0.293756,0.0428822,-0.0484222,0.40959,0.0897425,0.00824293,-0.0597457,0.57502200000000000000
1,"LE29I05",-0.150558,-0.0585099,-0.0265989,-0.0111735,0.193944,-0.0561315,-0.118014,-0.563862,-0.257874,-0.0728036,-0.0905419,-0.0402664,-0.107267,-0.331395,0.00522354,-0.319512,-0.0429161,0.325472,-0.331263,-0.184801,0.20909600000000000000
1,"LE13A14",-0.23141,-0.190878,0.0582316,-0.173693,0.152144,0.118865,-0.177884,-0.672586,-0.219483,-0.222599,-0.237196,-0.168673,-0.140675,0.107741,-0.0563818,-0.161668,-0.0614645,-0.199562,-0.0416921,0.227792,-0.12159300000000000000
1,"LE27P02",0.278126,0.443518,-0.156814,0.0278111,-0.212473,-0.115479,-0.215987,0.0604343,0.0786788,0.143594,0.0374098,0.0566062,0.0889957,-0.0946201,-0.0320344,0.119753,0.00236842,-0.67299,-0.0790428,-0.237448,-0.11218900000000000000
1,"LE12N20",0.236326,-0.0848886,0.0997651,-0.143421,-0.229692,-0.0598915,-0.261642,0.144242,-0.406538,0.228703,-0.0100282,0.312507,0.372583,-0.14862,-0.061618,0.0710282,0.426663,-0.153456,-0.139074,-0.199394,-0.10505400000000000000
1,"LE24J24",-0.0834182,0.0353172,-0.106471,-0.102004,-0.245133,-0.0108839,-0.260086,0.100216,-0.0391448,-0.585811,0.152387,0.197616,0.425587,-0.0897281,0.222183,0.0663392,-0.228285,0.237629,0.163199,-0.0945037,0.19515900000000000000
1,"LE30N14",0.292804,0.0217132,0.409223,-0.0720359,-0.133387,-0.15991,-0.150262,0.134763,-0.042628,0.124383,-0.0116281,0.0809469,0.123991,-0.0894098,-0.0702353,0.105123,0.750714,-0.0506515,-0.00316486,-0.16312,-0.03093510000000000000
1,"LE18O05",-0.0790598,-0.534372,0.0980707,-0.146509,0.125548,0.386028,-0.00261087,-0.439817,0.453469,-0.0308128,0.135378,-0.130325,0.0498316,-0.083171,0.00136878,-0.0851201,0.168711,-0.0858917,-0.13423,-0.0697449,0.04026660000000000000
1,"LE6O02",0.0739325,-0.195889,-0.0463141,-0.0711952,-0.0196411,0.0655649,0.074355,0.208623,-0.0478675,-0.408912,0.0239307,0.0471218,0.0478447,-0.0493416,0.110154,-0.0629741,-0.137595,0.0531189,-0.0668177,0.5004,0.65228400000000000000
1,"LE25J20",0.159721,-0.139645,-0.0295087,-0.0452177,-0.13109,0.00365778,0.283653,-0.473012,0.191844,-0.078055,-0.0998879,-0.0553074,-0.0975025,-0.0603964,-0.0588877,0.0419975,-0.299727,-0.0761864,0.274877,-0.580989,0.21819700000000000000
1,"LE27A20",-0.541439,0.178643,0.0518666,0.205583,0.058374,0.00397629,-0.0275642,0.0560582,0.0845464,-0.0144537,-0.132315,0.0726253,0.232614,-0.124325,-0.0771466,0.0851112,-0.217543,-0.0857701,-0.0577174,0.0390155,-0.67098200000000000000
1,"LE33K11",-0.139384,-0.2164,0.00625011,-0.773638,-0.0873104,0.154379,-0.276385,0.305243,-0.0790761,-0.109143,-0.035279,-0.0310616,-0.0613578,-0.160584,0.13204,0.100895,0.0925404,0.136755,0.157027,-0.00864229,0.06805530000000000000
1,"LE12G05",0.111547,-0.0778804,0.0615383,-0.088801,0.0183342,0.0868453,-0.032765,-0.0546554,-0.164699,0.0219465,-0.18307,-0.0373842,-0.0783826,0.0711467,-0.0692671,0.0926914,-0.15263,-0.053605,0.086652,0.616672,0.67587200000000000000
1,"LE8E13",-0.00598482,-0.757989,0.0471269,0.00796777,0.0175464,-0.043021,-0.325865,0.0152409,-0.206255,-0.295281,0.0853228,0.16657,0.0580012,0.117203,0.264293,0.11537,0.0845863,0.151608,-0.0262416,-0.110771,-0.08022280000000000000
1,"LE7J23",-0.104858,0.266003,0.273688,0.234801,0.0837505,-0.165656,-0.0371501,-0.129986,0.0798421,0.189313,0.358697,0.00439198,-0.161622,0.132201,-0.0204199,0.0778083,-0.0546779,-0.000545026,0.14202,-0.588576,-0.38069600000000000000
1,"LE2J01",0.0460669,0.251642,0.18025,0.0882126,0.00831623,-0.288072,0.10628,-0.414793,-0.156868,-0.220428,0.0721293,-0.253561,0.0160443,-0.0687434,0.138939,-0.0160698,-0.0190785,-0.0447697,-0.00303989,-0.313481,-0.59999400000000000000
1,"LE6D22",-0.240012,-0.288779,-0.0418351,-0.335767,-0.66477,-0.198221,-0.170571,-0.14606,0.13078,0.108401,-0.0258294,-0.0567456,0.0258029,-0.165967,-0.0278518,-0.0792351,0.0266014,-0.232213,-0.264188,-0.115824,-0.08381460000000000000
1,"LE5G23",0.0822573,-0.0608286,-0.0434999,0.107202,0.139276,-0.0455013,0.132536,0.558904,-0.0238066,0.137397,-0.0199953,-0.594728,-0.164201,-0.071498,-0.00980212,-0.0835247,0.128729,0.291977,-0.0049776,0.207179,-0.25938200000000000000
1,"LE12B16",-0.0988236,-0.222855,0.0762408,-0.134078,0.0834211,-0.120321,-0.708352,-0.530842,-0.0810468,-0.0804126,-0.0644477,-0.0895761,-0.0970013,0.0270756,-0.048519,-0.189979,0.0784223,-0.0877604,0.0415235,0.107511,0.10417300000000000000
1,"LE10I14",0.103594,-0.481425,-0.0929278,-0.330042,-0.414766,-0.307058,0.0551035,-0.265858,-0.154944,0.27775,-0.154947,-0.0893719,-0.147498,-0.140743,-0.0620623,-0.185498,0.230365,-0.163752,-0.0531745,0.03989,0.05125450000000000000
1,"LE8L10",-0.176551,-0.207839,0.184261,-0.14864,0.131851,0.132133,-0.367094,-0.463168,-0.0834087,0.0106679,0.00446557,-0.156406,-0.0950398,0.0867416,0.00726373,0.00432601,0.474006,-0.413712,0.148989,0.0297772,0.13548000000000000000
1,"LE8L02",-0.0020131,-0.0313857,0.00227441,-0.134002,-0.194091,-0.0239504,-0.201825,-0.575481,-0.134339,-0.0510936,-0.0888411,-0.20576,-0.117829,0.0851508,-0.230855,-0.454094,0.352507,0.0613875,-0.105944,-0.226212,0.17014700000000000000
1,"LE3C14",-0.0448302,-0.229144,0.0281082,-0.0591339,0.123123,0.478261,0.231865,-0.381288,-0.113349,0.209354,-0.127148,0.29816,0.124142,-0.153322,-0.123977,-0.250827,-0.0958737,0.0439967,0.229829,-0.137454,-0.36928700000000000000
1,"LE15H14",0.142219,-0.492846,0.00776979,-0.0327054,0.471338,-0.0418148,0.219491,0.0890628,0.0456603,-0.102186,-0.0566283,-0.544856,-0.20608,0.0135808,-0.155982,0.106511,0.114708,0.0986653,0.094325,0.0876771,0.15913200000000000000
1,"LE29C05",0.0605089,0.137078,0.0268691,0.273056,0.0283138,-0.27298,0.247729,-0.105261,0.080012,-0.131713,0.110902,0.0216213,-0.0797444,0.014921,-0.376139,0.0190798,-0.272084,0.136781,0.0682329,0.204308,-0.65606200000000000000
1,"LE16B17",-0.108924,0.112419,-0.0256668,-0.0887689,-0.136302,-0.156573,0.168246,0.182571,-0.0341302,0.183371,-0.0151925,-0.603391,-0.118354,-0.0826671,-0.0484424,-0.0330362,-0.0824515,-0.0668612,-0.0653397,0.117126,0.63999200000000000000
1,"LE30K03",-0.160932,-0.3223,0.26422,-0.114258,-0.596321,-0.0796494,0.0144469,0.0816893,0.181504,0.429229,-0.0953956,0.0511686,-0.0673583,-0.0446911,0.136251,-0.0580609,-0.287948,-0.160798,-0.0761031,-0.0783841,-0.20113900000000000000
